year,metarea,age,wage,edcode
1983,80,25,10.739111,3
1982,80,29,3.447366,2
1983,80,56,15.909794,2
1982,80,50,6.826983,2
1984,80,28,8.2611494,2
1983,80,51,8.8024912,1
1979,80,48,13.095994,4
1983,80,49,5.1706829,1
1978,80,55,13.835006,1
1982,80,40,9.2367477,2
1984,80,48,9.6083508,2
1984,80,42,13.726215,4
1984,80,51,14.736619,4
1984,80,30,6.6557903,3
1984,80,37,15.25135,2
1984,80,33,16.637836,4
1984,80,26,4.8804321,3
1984,80,48,9.3302393,1
1984,80,51,7.9307027,2
1984,80,38,12.201079,3
1984,80,34,8.3882427,1
1984,80,39,7.4350343,3
1977,80,30,7.5046959,3
1984,80,28,9.532094,2
1979,80,25,5.044383,4
1979,80,27,3.8932006,1
1983,80,35,12.330089,4
1984,80,32,1.8301622,1
1980,80,26,9.1346159,2
1984,80,39,9.532094,4
1980,80,33,8,2
1978,80,53,15.189949,4
1984,80,32,10.675945,2
1981,80,54,11.621674,1
1982,80,34,10.764802,4
1976,80,28,8.7028513,2
1976,80,53,14.504753,2
1980,80,45,13.193183,2
1981,80,42,13.171233,1
1976,80,37,4.2366223,1
1982,80,52,18.062973,4
1981,80,34,10.168965,2
1982,80,32,12.315663,4
1977,80,54,11.8759,1
1982,80,52,10.263053,2
1982,80,26,6.5427632,2
1981,80,43,6.9799776,3
1981,80,41,17.868326,2
1981,80,31,9.2973385,1
1981,80,40,7.2867899,2
1983,80,26,5.1854143,1
1982,80,46,11.494619,3
1976,80,29,3.3100674,2
1983,80,28,5.4237933,3
1981,80,44,4.8423643,4
1983,80,33,9.5458765,2
1978,80,30,7.5949745,2
1977,80,45,10.459507,4
1976,80,36,13.924562,2
1976,80,50,9.0509663,3
1977,80,25,2.6148767,1
1983,80,33,7.1594071,4
1980,80,55,12.980769,2
1982,80,54,3.1166842,1
1981,80,30,10.459507,2
1980,80,40,8.6538458,4
1982,80,30,8.4395714,3
1983,80,55,8.6891947,3
1982,80,59,13.54723,3
1982,80,32,6.5683541,2
1981,80,59,15.495565,3
1980,80,31,8.6538458,2
1980,80,26,6.0096149,4
1981,80,33,9.1520691,2
1977,80,49,9.9840746,2
1976,80,29,9.3392038,3
1976,80,48,6.582521,1
1981,80,29,13.335871,4
1980,80,37,9.4551277,1
1978,80,36,5.8853602,1
1978,80,28,14.096274,4
1983,80,29,15.644631,2
1976,80,55,9.0509663,1
1976,80,38,10.599246,4
1981,80,35,13.074384,4
1978,80,33,7.2911754,2
1983,80,26,4.8763514,1
1982,80,49,8.1907377,2
1979,80,53,8.4578304,1
1980,80,57,9.6153841,2
1978,80,55,10.126633,1
1982,80,45,6.063096,3
1980,80,48,10.38846,2
1981,80,39,9.1520691,2
1977,80,35,8.4983501,1
1976,80,32,13.367579,4
1977,80,44,11.766946,2
1976,80,54,19.464441,1
1980,80,42,10.444874,4
1981,80,49,10.459507,2
1984,80,44,2.4783444,1
1982,80,47,11.905143,2
1977,80,37,14.381823,2
1983,80,47,3.309237,4
1978,80,33,7.8987727,3
1980,80,28,8.8888893,3
1983,80,39,17.500774,4
1977,80,26,2.2008548,3
1982,80,51,8.8330669,4
1982,80,54,9.1956949,3
1976,80,50,6.2660532,1
1978,80,49,11.573294,3
1976,80,38,9.0011587,4
1978,80,51,15.858305,1
1984,80,30,8.1340532,3
1984,80,54,2.2877026,3
1976,80,31,7.0382338,2
1976,80,42,14.667206,2
1983,80,32,29.830864,4
1978,80,32,10.153637,3
1979,80,28,11.003909,4
1978,80,49,25.276072,2
1984,80,29,8.9982967,3
1983,80,52,9.9436216,2
1979,80,58,6.547998,1
1981,80,56,9.1520691,2
1981,80,44,14.77974,2
1982,80,45,14.984059,4
1981,80,58,16.342979,4
1976,80,32,13.228336,2
1976,80,55,7.1641064,1
1976,80,52,12.183992,1
1983,80,40,6.9248304,2
1984,80,43,10.675945,4
1984,80,45,9.6083508,2
1976,80,25,2.6398652,4
1981,80,53,7.7201128,2
1979,80,55,8.6700344,3
1978,80,34,9.7215672,2
1976,80,27,9.9212523,2
1983,80,28,5.1602187,2
1976,80,29,4.1773691,2
1981,80,44,13.074384,3
1976,80,31,14.968905,4
1976,80,59,9.0509663,4
1983,80,35,12.867444,4
1983,80,58,7.299787,4
1976,80,51,12.810596,4
1982,80,35,11.345339,2
1980,80,26,9.2307682,2
1978,80,27,4.7016506,3
1984,80,57,9.9133787,1
1981,80,37,6.2258973,2
1979,80,36,10.913328,1
1978,80,55,8.2894592,1
1976,80,44,9.0509663,4
1980,80,58,10.336538,2
1976,80,29,15.167288,2
1981,80,25,6.0238047,4
1980,80,25,5.2447553,3
1984,80,58,6.7105947,4
1982,80,32,14.599174,2
1976,80,40,11.313708,4
1981,80,53,3.763555,2
1976,80,30,10.791537,4
1976,80,59,7.0395627,1
1984,80,25,8.9161396,2
1978,80,52,5.7843323,1
1977,80,47,17.977278,4
1979,80,47,5.7294979,2
1983,80,40,15.668734,3
1981,80,57,11.766946,1
1977,80,30,3.5013201,2
1983,80,27,5.9240117,2
1977,80,29,5.229754,2
1983,80,25,3.6194782,2
1977,80,26,7.0601673,4
1984,80,39,9.3587828,1
1977,80,29,9.4789295,2
1984,80,30,9.3854465,4
1977,80,28,11.440086,1
1979,80,27,4.9109983,1
1979,80,56,9.0944405,1
1976,80,25,4.6415215,4
1980,80,43,2.8846154,2
1982,80,59,5.852572,4
1978,80,27,4.3747053,2
1982,80,44,11.905143,2
1982,80,32,3.2841771,4
1981,80,51,25.277143,4
1983,80,42,10.500464,4
1978,80,27,4.5367312,4
1981,80,32,10.89532,4
1979,80,51,11.03459,2
1982,80,25,7.3893981,3
1977,80,59,17.43251,1
1984,80,27,3.5284448,3
1977,80,47,10.89532,3
1983,80,41,6.7339125,1
1977,80,33,8.324914,3
1979,80,47,11.18198,2
1981,80,44,14.927023,2
1984,80,36,11.438513,4
1984,80,59,16.776485,4
1981,80,31,6.5371919,2
1982,80,34,9.442008,3
1983,80,33,13.92107,4
1984,80,36,4.9566894,2
1984,80,31,8.006959,4
1976,80,25,5.2631364,3
1979,80,36,21.294302,4
1982,80,41,20.526106,4
1980,80,32,2.3076923,2
1981,80,50,18.129814,4
1982,80,38,13.684071,4
1980,80,51,4.4871793,3
1976,80,44,8.0453033,2
1977,80,33,8.3806801,2
1983,80,44,9.9436216,2
1982,80,32,8.620965,2
1979,80,30,8.1849966,2
1979,80,37,9.8219957,2
1982,80,30,9.0314865,4
1979,80,53,2.8374658,4
1980,80,31,5.2884612,2
1977,80,41,4.3805723,2
1980,80,57,9.6153841,4
1980,80,52,6.9230771,1
1983,80,31,12.069981,2
1980,80,33,9.375001,2
1978,80,29,4.4974399,2
1977,80,32,7.7852011,3
1983,80,25,6.3639174,2
1978,80,39,2.7290597,1
1979,80,31,10.913328,2
1984,80,36,9.532094,2
1978,80,40,14.72392,2
1980,80,41,14.903848,1
1983,80,57,6.980422,4
1984,80,34,8.0034647,2
1978,80,29,13.367155,1
1977,80,35,4.6354637,1
1981,80,58,4.7137513,1
1982,80,34,8.8946466,2
1981,80,33,7.8446302,1
1976,80,56,20.76207,1
1981,80,35,11.505458,2
1984,80,47,13.857239,2
1978,80,35,7.9797869,1
1979,80,46,13.095994,1
1981,80,30,5.3566623,4
1981,80,48,10.459507,2
1978,80,28,4.4430599,2
1977,80,55,11.621674,1
1984,80,48,6.0090322,3
1984,80,43,16.268106,4
1984,80,40,7.1172967,2
1983,80,31,9.5458765,3
1983,80,38,11.932345,3
1981,80,55,10.75005,1
1977,80,30,12.027343,4
1979,80,30,11.838778,2
1976,80,39,11.175975,1
1981,80,46,4.1547484,2
1976,80,36,16.013247,2
1979,80,30,3.4558878,3
1981,80,49,14.381823,3
1977,80,27,10.672347,3
1980,80,37,10.096153,3
1984,80,30,5.8463511,2
1977,80,35,14.020968,2
1982,80,49,13.210897,2
1980,80,48,9.8557701,2
1981,80,28,4.4181895,2
1982,80,48,12.315663,3
1976,80,29,4.5973158,1
1980,80,29,10.646635,3
1978,80,54,4.0622263,3
1976,80,53,9.0548649,4
1981,80,33,18.73995,4
1982,80,32,6.9788761,2
1976,80,44,7.3849912,1
1980,80,57,6.9444447,2
1980,80,50,8.5,2
1976,80,48,14.65653,2
1980,80,54,10.817307,1
1977,80,55,11.8759,1
1976,80,40,3.0169888,2
1978,80,57,5.4163013,2
1981,80,45,16.560888,3
1979,80,28,5.7294979,3
1984,80,46,16.082548,3
1977,80,59,18.102995,3
1976,80,42,7.567697,2
1976,80,48,15.779969,1
1980,80,37,11.057692,1
1979,80,30,13.095994,1
1981,80,48,11.766946,2
1981,80,58,5.665566,4
1976,80,42,5.5698256,2
1978,80,32,8.7764139,3
1984,80,49,6.8631082,3
1982,80,39,11.91401,4
1982,80,29,3.8149531,4
1976,80,29,7.9648509,2
1984,80,37,8.5407562,1
1979,80,53,3.4299035,3
1976,80,33,4.4170289,2
1984,80,32,6.7105947,2
1977,80,46,6.2103324,2
1977,80,31,10.4014,3
1980,80,25,7.692307,3
1979,80,27,9.2763309,4
1977,80,28,7.3121467,1
1981,80,53,11.331134,1
1976,80,25,3.5012743,3
1982,80,57,8.620965,2
1982,80,29,5.6600442,2
1978,80,45,9.1139698,1
1983,80,29,8.3526421,2
1981,80,55,10.459507,2
1978,80,44,10.507394,1
1981,80,31,8.7874079,2
1982,80,39,21.347153,3
1976,80,25,7.2407732,2
1981,80,34,9.5878811,2
1980,80,31,7.2115383,2
1979,80,52,16.062782,1
1982,80,28,8.7179394,2
1978,80,47,15.129189,3
1977,80,33,13.61915,2
1978,80,25,8.3144979,2
1982,80,42,15.599842,2
1980,80,52,12.500001,2
1981,80,41,11.766946,4
1980,80,49,13.701924,2
1978,80,30,10.044808,2
1980,80,25,8.0128202,4
1980,80,54,11.538461,2
1981,80,43,5.2297535,4
1979,80,56,10.231246,2
1980,80,34,11.199635,4
1979,80,44,10.913328,2
1976,80,41,10.025684,3
1978,80,27,8.3278027,4
1984,80,34,6.6551347,4
1978,80,31,12.253226,4
1979,80,34,11.640886,2
1976,80,30,11.139649,4
1979,80,31,7.9369678,4
1982,80,30,8.8946466,3
1981,80,41,7.9840913,2
1982,80,54,10.263053,2
1983,80,45,15.512047,3
1976,80,30,6.4714408,2
1982,80,55,16.420883,2
1979,80,41,12.143262,2
1976,80,29,9.4687042,2
1979,80,27,9.8902054,3
1983,80,34,9.1247339,4
1977,80,39,9.3587446,4
1982,80,31,6.8525615,4
1976,80,46,15.182266,3
1976,80,32,13.228336,2
1977,80,43,9.805788,1
1977,80,49,14.527093,1
1977,80,46,14.381823,3
1982,80,34,16.420883,4
1976,80,38,5.0128431,1
1983,80,50,12.608511,3
1977,80,27,10.125693,2
1977,80,53,10.459507,4
1980,80,49,12.500001,3
1979,80,27,8.058404,2
1982,80,52,9.4876223,1
1978,80,29,3.1595094,3
1977,80,30,6.7986803,2
1980,80,30,3.3653846,3
1983,80,42,8.4719639,2
1984,80,43,13.344933,4
1981,80,33,9.4426117,3
1982,80,49,8.1921968,2
1976,80,57,8.3547373,4
1984,80,48,14.211487,4
1983,80,48,5.1706829,3
1983,80,42,15.466705,4
1984,80,51,17.386541,3
1984,80,25,11.05723,4
1978,80,30,11.251814,4
1981,80,59,7.9899011,4
1980,80,28,11.060001,2
1983,80,29,5.1706829,2
1980,80,41,4.263566,2
1977,80,31,7.5831432,4
1984,80,34,7.5385728,2
1984,80,43,14.858246,4
1979,80,54,13.095994,4
1980,80,48,10.912699,1
1984,80,28,5.0329456,3
1984,80,37,11.209743,3
1980,80,39,5.5473371,2
1980,80,56,11.324787,2
1981,80,43,6.3556037,3
1977,80,46,7.9146714,1
1984,80,31,4.6108737,2
1976,80,59,12.067955,3
1980,80,29,4.0464745,3
1984,80,32,9.8286486,4
1977,80,47,9.1681147,2
1982,80,33,9.4876223,2
1981,80,34,8.7162552,2
1980,80,42,12.500001,4
1984,80,26,8.5788851,3
1982,80,52,4.6237755,3
1980,80,30,7.2115383,1
1976,80,39,12.964466,4
1981,80,31,11.856724,2
1984,80,47,8.7695265,1
1982,80,32,6.8967714,2
1982,80,56,8.0051823,1
1980,80,54,3.846154,3
1983,80,27,5.5478382,3
1980,80,32,5.4487181,1
1978,80,31,7.5949745,3
1976,80,25,5.631712,1
1981,80,26,8.7162552,2
1979,80,34,9.928401,2
1982,80,54,9.1589451,2
1978,80,54,15.797545,4
1981,80,31,8.965291,2
1980,80,31,9.458334,4
1978,80,59,6.9873762,1
1982,80,34,6.5683541,2
1981,80,51,11.796276,1
1983,80,50,11.534599,2
1980,80,56,8.0128202,1
1976,80,58,13.23563,1
1982,80,45,10.837784,4
1984,80,27,4.7584214,2
1981,80,58,10.459507,2
1979,80,56,8.3356009,1
1979,80,57,10.367663,2
1978,80,40,9.1139698,2
1983,80,57,7.7560234,1
1977,160,33,10.459507,3
1978,160,41,33.141708,4
1976,160,52,8.3547373,1
1978,160,36,8.7494106,2
1982,160,45,5.5831008,2
1980,160,30,4.3585,2
1984,160,37,4.3847637,1
1976,160,28,4.1773691,2
1977,160,51,16.342325,4
1981,160,27,2.940429,2
1984,160,57,11.565609,1
1978,160,36,2.0415292,4
1979,160,40,13.641661,2
1977,160,28,6.9938574,1
1976,160,54,7.6585097,1
1976,160,53,26.456673,4
1977,160,51,13.074384,4
1976,160,26,3.6203866,3
1976,160,48,6.9622822,1
1979,160,55,24.554991,4
1976,160,48,19.101404,4
1976,160,56,10.025684,1
1976,160,35,10.053029,4
1976,160,43,15.309064,2
1978,160,56,7.8137097,2
1976,160,25,7.4496408,3
1976,160,25,6.6141672,3
1980,160,28,5.3333335,2
1976,160,56,11.288643,2
1976,160,49,9.7471943,2
1976,160,28,5.4965382,2
1976,160,54,10.520782,2
1982,160,28,8.5388603,2
1978,160,54,18.547726,3
1977,160,40,18.677691,4
1977,160,51,6.3365002,1
1978,160,27,7.8987727,4
1978,160,38,8.2854261,2
1978,160,27,9.2354879,4
1981,160,28,5.665566,2
1978,160,54,30.379898,4
1980,160,59,5.2884612,1
1976,160,47,8.3547373,1
1977,160,38,14.958838,4
1984,160,57,8.7695265,2
1981,160,44,4.6486702,3
1978,160,31,1.6202612,2
1977,160,27,3.6421499,2
1976,160,36,8.1458702,1
1977,160,25,7.1386137,2
1978,160,30,6.6969447,1
1978,160,27,5.9519801,3
1976,160,40,7.4398947,1
1981,160,54,22.226452,4
1980,160,27,7.5721154,2
1979,160,34,7.0936646,3
1980,160,48,9.6153841,2
1978,160,53,32.549892,4
1984,160,39,7.6256752,2
1976,160,25,5.3961,4
1983,160,38,20.68273,4
1979,160,40,10.913328,3
1980,160,35,16.826923,4
1979,160,36,6.7116981,1
1978,160,39,15.554507,2
1977,160,31,8.8252096,3
1977,160,28,2.9927266,2
1978,160,52,21.063393,4
1978,160,28,7.0348792,2
1977,160,29,12.381441,2
